time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1742264436.35615611,0.01785497,13621,0.00265008,0.00000000,0,0.00000000,23648,23999,967,0.00247954
1742264436.45627999,0.01778717,13618,0.00240967,0.00000000,0,0.00000000,23999,24373,908,0.00253106
1742264436.55621600,0.01858044,13603,0.00337118,0.00000000,0,0.00000000,24373,24926,1268,0.00262807
1742264436.65606093,0.01894312,13553,0.00374316,0.00000000,0,0.00000000,24926,25242,1179,0.00248335
1742264436.75609493,0.01900858,13598,0.00368667,0.00000000,0,0.00000000,25242,25376,948,0.00250388
1742264436.85603690,0.01786029,13574,0.00297545,0.00000000,0,0.00000000,25104,25624,1060,0.00249075
1742264436.95610690,0.01892875,13619,0.00337329,0.00000000,0,0.00000000,25624,26374,1244,0.00247886
1742264437.05647802,0.01842107,13667,0.00319813,0.00000000,0,0.00000000,26374,26951,1104,0.00260610
1742264437.15639806,0.01755512,13669,0.00246508,0.00000000,0,0.00000000,26951,27304,814,0.00251016
1742264437.25651097,0.01820936,13668,0.00324515,0.00000000,0,0.00000000,27304,27834,1187,0.00248280
1742264437.35627890,0.01866500,13667,0.00333408,0.00000000,0,0.00000000,27834,28572,1354,0.00254047
1742264437.45603991,0.01869612,13709,0.00315657,0.00000000,0,0.00000000,28572,29052,1110,0.00286669
1742264437.55664206,0.01904935,13753,0.00277224,0.00000000,0,0.00000000,29052,29352,858,0.00250197
1742264437.65664792,0.01820586,13719,0.00293154,0.00000000,0,0.00000000,29352,29752,969,0.00246337
1742264437.75626707,0.01782064,13680,0.00286463,0.00000000,0,0.00000000,29752,30268,1076,0.00248487
1742264437.85595989,0.02277377,13728,0.00259880,0.00000000,0,0.00000000,30268,30628,814,0.00248497
1742264437.95660591,0.02303043,13718,0.00287172,0.00000000,0,0.00000000,30628,30914,850,0.00250336
1742264438.05684495,0.02379019,13803,0.00313303,0.00000000,0,0.00000000,30914,31210,841,0.00248741
1742264438.15665698,0.01789087,13846,0.00252641,0.00000000,0,0.00000000,31210,31531,839,0.00247728
1742264438.25641704,0.02445159,13815,0.00344727,0.00000000,0,0.00000000,31531,31705,854,0.00254159
1742264438.35644007,0.02322286,13797,0.00281233,0.00000000,0,0.00000000,31705,31965,780,0.00250057
1742264438.45661092,0.01794402,13791,0.00261090,0.00000000,0,0.00000000,31965,32158,767,0.00260600
1742264438.55670190,0.02380580,13852,0.00319885,0.00000000,0,0.00000000,32158,32394,876,0.00255904
1742264438.65593100,0.01860729,13789,0.00330298,0.00000000,0,0.00000000,32394,32898,1150,0.00283178
